record_id,timestamp,latitude,longitude,road_id,vehicle_count,avg_speed_kmh,vehicle_type,traffic_density,weather,visibility_m,road_condition,accident_occurred,accident_severity,alert_generated,temperature_c,humidity_pct,year,month,month_name,quarter,day,day_of_week,hour,is_weekend,time_of_day,accident_flag,alert_flag,severe_accident_flag,fatal_accident_flag,alert_success_type,traffic_density_score,traffic_flow_rate,visibility_category,region
12,2018-03-13 00:20:00,18.60166359,76.31983034,RD-7,419,11,Truck,Low,Clear,828,Wet,No,Not Applicable,No,49.1,85.66,2018,3,March,Q1,13,Tuesday,0,0,Night,0,0,0,0,Normal Flow (True Negative),1,4609,Poor (<1km),Central
13,2020-11-26 00:13:00,8.488389441,77.65025732,RD-32,239,79,Bike,Low,Clear,1442,Slippery,No,Not Applicable,No,44.97,82.06,2020,11,November,Q4,26,Thursday,0,0,Night,0,0,0,0,Normal Flow (True Negative),1,18881,Moderate (1-4km),South
14,2020-09-26 07:28:00,15.39961279,87.93132121,RD-426,74,107,Car,High,Clear,6256,Dry,No,Not Applicable,No,26.37,72.46,2020,9,September,Q3,26,Saturday,7,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),3,7918,Good (>4km),South
15,2019-04-07 03:14:00,13.45072715,90.88621461,RD-400,487,10,Car,Low,Rain,6931,Dry,No,Not Applicable,No,25.45,36.37,2019,4,April,Q2,7,Sunday,3,1,Night,0,0,0,0,Normal Flow (True Negative),1,4870,Good (>4km),South
16,2023-10-18 15:12:00,11.93114262,79.59971728,RD-114,250,33,Mixed,Very High,Clear,5510,Dry,No,Not Applicable,Yes,25.5,76.55,2023,10,October,Q4,18,Wednesday,15,0,Midday,0,1,0,0,False Alarm (False Positive),4,8250,Good (>4km),South
17,2018-03-18 23:53:00,8.932059802,87.30008196,RD-67,405,55,Mixed,Medium,Rain,7462,Slippery,No,Not Applicable,Yes,29.13,78.48,2018,3,March,Q1,18,Sunday,23,1,Night,0,1,0,0,False Alarm (False Positive),2,22275,Good (>4km),South
18,2022-05-28 21:12:00,14.57938786,95.73427793,RD-102,493,85,Mixed,Low,Fog,3274,Under Maintenance,No,Not Applicable,No,35.74,76.07,2022,5,May,Q2,28,Saturday,21,1,Evening Peak,0,0,0,0,Normal Flow (True Negative),1,41905,Moderate (1-4km),South
19,2023-08-31 12:39:00,11.00204282,93.72016657,RD-422,301,32,Car,Medium,Rain,5632,Slippery,No,Not Applicable,No,32.96,36.84,2023,8,August,Q3,31,Thursday,12,0,Midday,0,0,0,0,Normal Flow (True Negative),2,9632,Good (>4km),South
20,2018-04-12 22:53:00,9.309070968,88.33752916,RD-206,161,61,Car,Low,Snow,2445,Slippery,No,Not Applicable,No,28.74,68.63,2018,4,April,Q2,12,Thursday,22,0,Night,0,0,0,0,Normal Flow (True Negative),1,9821,Moderate (1-4km),South
21,2019-03-19 08:49:00,11.98234551,95.34885279,RD-191,435,67,Mixed,High,Rain,5979,Dry,No,Not Applicable,Yes,38.36,80.06,2019,3,March,Q1,19,Tuesday,8,0,Morning Peak,0,1,0,0,False Alarm (False Positive),3,29145,Good (>4km),South
22,2019-03-30 22:44:00,13.86969754,93.4022034,RD-352,320,42,Car,High,Snow,3450,Wet,No,Not Applicable,No,24.18,64.64,2019,3,March,Q1,30,Saturday,22,1,Night,0,0,0,0,Normal Flow (True Negative),3,13440,Moderate (1-4km),South
23,2023-03-22 01:16:00,20.06290743,89.14126312,RD-323,192,87,Bike,Very High,Snow,3951,Slippery,No,Not Applicable,Yes,28.76,68.78,2023,3,March,Q1,22,Wednesday,1,0,Night,0,1,0,0,False Alarm (False Positive),4,16704,Moderate (1-4km),East
24,2021-02-09 05:12:00,24.9271749,94.60018501,RD-481,98,53,Mixed,High,Snow,2824,Dry,No,Not Applicable,No,30.99,57.5,2021,2,February,Q1,9,Tuesday,5,0,Night,0,0,0,0,Normal Flow (True Negative),3,5194,Moderate (1-4km),East
25,2020-03-29 09:37:00,17.34571001,91.70432346,RD-331,273,112,Truck,High,Snow,4564,Slippery,No,Not Applicable,Yes,33.68,61.72,2020,3,March,Q1,29,Sunday,9,1,Morning Peak,0,1,0,0,False Alarm (False Positive),3,30576,Good (>4km),East
26,2023-01-26 05:49:00,12.09652305,82.56536885,RD-44,469,16,Mixed,High,Clear,665,Under Maintenance,No,Not Applicable,No,43.56,32.06,2023,1,January,Q1,26,Thursday,5,0,Night,0,0,0,0,Normal Flow (True Negative),3,7504,Poor (<1km),South
27,2023-11-07 02:57:00,35.26939105,82.56617519,RD-299,198,49,Truck,Low,Snow,699,Slippery,No,Not Applicable,No,25.99,68.34,2023,11,November,Q4,7,Tuesday,2,0,Night,0,0,0,0,Normal Flow (True Negative),1,9702,Poor (<1km),North
28,2018-10-03 15:45:00,22.93075765,68.25493292,RD-301,36,106,Bus,Medium,Storm,2171,Dry,No,Not Applicable,No,35.43,34.89,2018,10,October,Q4,3,Wednesday,15,0,Midday,0,0,0,0,Normal Flow (True Negative),2,3816,Moderate (1-4km),West
29,2022-08-17 05:26:00,29.51452965,68.87724229,RD-133,260,87,Truck,Very High,Fog,8915,Slippery,No,Not Applicable,No,37.77,56.1,2022,8,August,Q3,17,Wednesday,5,0,Night,0,0,0,0,Normal Flow (True Negative),4,22620,Good (>4km),North
30,2019-01-04 08:40:00,28.1386191,89.64060025,RD-470,469,101,Bike,Medium,Storm,9075,Slippery,No,Not Applicable,No,21.39,47.56,2019,1,January,Q1,4,Friday,8,0,Morning Peak,0,0,0,0,Normal Flow (True Negative),2,47369,Good (>4km),North
31,2021-05-10 13:02:00,16.26200596,84.0882981,RD-417,200,49,Car,Very High,Clear,3553,Slippery,No,Not Applicable,No,38.23,62.73,2021,5,May,Q2,10,Monday,13,0,Midday,0,0,0,0,Normal Flow (True Negative),4,9800,Moderate (1-4km),Central
32,2022-09-14 05:46:00,24.23599584,90.06778547,RD-39,137,9,Bike,Very High,Snow,4081,Dry,No,Not Applicable,No,25.12,38.0,2022,9,September,Q3,14,Wednesday,5,0,Night,0,0,0,0,Normal Flow (True Negative),4,1233,Good (>4km),East
33,2020-04-24 17:59:00,25.46275936,95.54022176,RD-12,425,69,Bus,Low,Rain,867,Dry,No,Not Applicable,No,21.95,71.5,2020,4,April,Q2,24,Friday,17,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),1,29325,Poor (<1km),East
34,2023-11-04 09:23:00,18.2019397,81.12338901,RD-34,325,39,Bike,Medium,Clear,7072,Slippery,No,Not Applicable,No,48.47,77.7,2023,11,November,Q4,4,Saturday,9,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),2,12675,Good (>4km),Central
35,2021-09-30 15:55:00,27.4522304,70.56492243,RD-102,428,39,Bike,Medium,Fog,8860,Dry,No,Not Applicable,No,48.97,39.8,2021,9,September,Q3,30,Thursday,15,0,Midday,0,0,0,0,Normal Flow (True Negative),2,16692,Good (>4km),West
36,2020-05-23 03:48:00,30.92961999,86.17022383,RD-463,153,115,Bus,Medium,Rain,5111,Slippery,No,Not Applicable,No,44.25,36.26,2020,5,May,Q2,23,Saturday,3,1,Night,0,0,0,0,Normal Flow (True Negative),2,17595,Good (>4km),North
37,2022-02-14 20:16:00,18.56210597,70.89228056,RD-331,429,115,Bike,Very High,Rain,3705,Slippery,No,Not Applicable,No,29.14,38.73,2022,2,February,Q1,14,Monday,20,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),4,49335,Moderate (1-4km),West
38,2020-07-09 05:39:00,8.432545775,86.01778674,RD-228,321,35,Bus,Very High,Snow,4536,Slippery,No,Not Applicable,No,22.93,82.63,2020,7,July,Q3,9,Thursday,5,0,Night,0,0,0,0,Normal Flow (True Negative),4,11235,Good (>4km),South
39,2019-07-03 16:02:00,18.13074219,83.30442647,RD-415,167,40,Car,Very High,Fog,1490,Slippery,No,Not Applicable,No,40.53,61.69,2019,7,July,Q3,3,Wednesday,16,0,Midday,0,0,0,0,Normal Flow (True Negative),4,6680,Moderate (1-4km),Central
40,2023-11-05 04:04:00,11.3876525,88.65429602,RD-66,238,44,Mixed,Low,Fog,9360,Wet,No,Not Applicable,No,33.2,58.04,2023,11,November,Q4,5,Sunday,4,1,Night,0,0,0,0,Normal Flow (True Negative),1,10472,Good (>4km),South
41,2021-04-10 01:22:00,12.51262879,78.17782716,RD-48,390,103,Car,Very High,Rain,3772,Wet,No,Not Applicable,No,23.66,36.4,2021,4,April,Q2,10,Saturday,1,1,Night,0,0,0,0,Normal Flow (True Negative),4,40170,Moderate (1-4km),South
42,2023-12-01 17:38:00,18.61253483,72.17199223,RD-464,41,44,Car,Low,Fog,8171,Under Maintenance,No,Not Applicable,No,34.86,68.97,2023,12,December,Q4,1,Friday,17,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),1,1804,Good (>4km),West
43,2018-06-18 06:55:00,14.02101185,74.85010437,RD-434,88,65,Car,Medium,Storm,6840,Slippery,No,Not Applicable,No,21.03,82.08,2018,6,June,Q2,18,Monday,6,0,Night,0,0,0,0,Normal Flow (True Negative),2,5720,Good (>4km),South
44,2022-02-14 19:57:00,35.11177965,87.82539613,RD-425,286,16,Bike,Low,Snow,8431,Slippery,No,Not Applicable,Yes,47.28,79.69,2022,2,February,Q1,14,Monday,19,0,Evening Peak,0,1,0,0,False Alarm (False Positive),1,4576,Good (>4km),North
45,2018-12-08 23:37:00,26.93128475,81.86680189,RD-415,65,86,Car,High,Snow,4184,Dry,No,Not Applicable,No,27.76,67.56,2018,12,December,Q4,8,Saturday,23,1,Night,0,0,0,0,Normal Flow (True Negative),3,5590,Good (>4km),Central
46,2022-08-02 00:41:00,23.03256062,83.68370694,RD-170,433,96,Bus,High,Storm,7148,Slippery,No,Not Applicable,No,39.88,34.52,2022,8,August,Q3,2,Tuesday,0,0,Night,0,0,0,0,Normal Flow (True Negative),3,41568,Good (>4km),Central
47,2022-02-20 08:22:00,8.282005938,77.36695425,RD-63,358,17,Bus,Medium,Storm,888,Dry,No,Not Applicable,No,29.35,36.74,2022,2,February,Q1,20,Sunday,8,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),2,6086,Poor (<1km),South
48,2018-08-22 22:39:00,11.00491455,92.26436288,RD-22,63,34,Bus,High,Fog,8060,Under Maintenance,No,Not Applicable,Yes,35.6,32.96,2018,8,August,Q3,22,Wednesday,22,0,Night,0,1,0,0,False Alarm (False Positive),3,2142,Good (>4km),South
49,2019-05-04 14:13:00,30.86585755,96.98419731,RD-483,423,44,Bus,Very High,Rain,6707,Wet,No,Not Applicable,No,36.4,45.45,2019,5,May,Q2,4,Saturday,14,1,Midday,0,0,0,0,Normal Flow (True Negative),4,18612,Good (>4km),North
50,2022-10-02 02:12:00,19.30256913,77.05397714,RD-237,482,21,Car,High,Fog,7990,Wet,No,Not Applicable,No,25.55,38.14,2022,10,October,Q4,2,Sunday,2,1,Night,0,0,0,0,Normal Flow (True Negative),3,10122,Good (>4km),Central
51,2018-06-05 12:01:00,9.319302687,88.84089674,RD-26,29,77,Truck,Low,Storm,4108,Dry,No,Not Applicable,Yes,49.09,45.6,2018,6,June,Q2,5,Tuesday,12,0,Midday,0,1,0,0,False Alarm (False Positive),1,2233,Good (>4km),South
52,2019-01-14 01:21:00,31.94121372,72.96190708,RD-87,211,107,Mixed,Very High,Snow,8017,Slippery,Yes,Fatal,No,43.25,53.1,2019,1,January,Q1,14,Monday,1,0,Night,1,0,1,1,Missed Incident (False Negative),4,22577,Good (>4km),North
53,2021-04-03 22:43:00,16.77673438,89.53052615,RD-474,232,26,Truck,High,Snow,432,Dry,No,Not Applicable,Yes,48.18,86.58,2021,4,April,Q2,3,Saturday,22,1,Night,0,1,0,0,False Alarm (False Positive),3,6032,Poor (<1km),East
54,2023-05-01 06:54:00,19.20257304,80.49468976,RD-294,138,60,Bike,Medium,Snow,2550,Under Maintenance,No,Not Applicable,No,46.84,66.62,2023,5,May,Q2,1,Monday,6,0,Night,0,0,0,0,Normal Flow (True Negative),2,8280,Moderate (1-4km),Central
55,2018-03-16 11:44:00,36.25670305,85.55386502,RD-222,339,66,Car,High,Fog,3991,Wet,No,Not Applicable,No,37.94,80.1,2018,3,March,Q1,16,Friday,11,0,Midday,0,0,0,0,Normal Flow (True Negative),3,22374,Moderate (1-4km),North
56,2022-02-16 22:12:00,8.44986949,74.8892583,RD-421,155,61,Truck,Very High,Storm,8290,Slippery,Yes,Minor,No,47.66,72.62,2022,2,February,Q1,16,Wednesday,22,0,Night,1,0,0,0,Missed Incident (False Negative),4,9455,Good (>4km),South
57,2023-10-04 00:34:00,28.9184074,92.69804532,RD-371,378,19,Car,High,Rain,3303,Slippery,No,Not Applicable,No,22.65,36.75,2023,10,October,Q4,4,Wednesday,0,0,Night,0,0,0,0,Normal Flow (True Negative),3,7182,Moderate (1-4km),North
58,2018-12-09 09:12:00,35.51764111,73.02672393,RD-203,237,97,Bus,High,Fog,5631,Slippery,No,Not Applicable,No,25.88,74.16,2018,12,December,Q4,9,Sunday,9,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),3,22989,Good (>4km),North
59,2018-07-30 02:25:00,9.851927888,94.92955778,RD-255,450,58,Bike,Low,Snow,3503,Wet,No,Not Applicable,No,21.36,46.51,2018,7,July,Q3,30,Monday,2,0,Night,0,0,0,0,Normal Flow (True Negative),1,26100,Moderate (1-4km),South
60,2023-03-11 21:44:00,33.11623371,69.77620266,RD-16,324,20,Truck,Low,Storm,5172,Slippery,No,Not Applicable,No,29.76,68.35,2023,3,March,Q1,11,Saturday,21,1,Evening Peak,0,0,0,0,Normal Flow (True Negative),1,6480,Good (>4km),North
61,2021-12-08 02:40:00,20.07100911,76.35146493,RD-196,393,88,Mixed,Low,Rain,7340,Under Maintenance,No,Not Applicable,No,31.66,50.46,2021,12,December,Q4,8,Wednesday,2,0,Night,0,0,0,0,Normal Flow (True Negative),1,34584,Good (>4km),Central
62,2023-03-21 17:25:00,33.46189896,84.32541943,RD-350,137,93,Bus,High,Clear,8294,Under Maintenance,No,Not Applicable,No,28.14,89.86,2023,3,March,Q1,21,Tuesday,17,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),3,12741,Good (>4km),North
63,2018-03-22 08:41:00,16.93996319,92.89558893,RD-219,150,108,Bus,Low,Fog,3898,Wet,No,Not Applicable,No,44.86,45.81,2018,3,March,Q1,22,Thursday,8,0,Morning Peak,0,0,0,0,Normal Flow (True Negative),1,16200,Moderate (1-4km),East
64,2020-08-02 00:39:00,36.49721889,84.73372085,RD-89,297,28,Bike,Low,Clear,4074,Wet,No,Not Applicable,Yes,30.7,46.75,2020,8,August,Q3,2,Sunday,0,1,Night,0,1,0,0,False Alarm (False Positive),1,8316,Good (>4km),North
65,2020-04-25 19:09:00,26.76443288,74.26729702,RD-182,479,84,Bus,Low,Storm,2711,Wet,No,Not Applicable,No,28.43,85.84,2020,4,April,Q2,25,Saturday,19,1,Evening Peak,0,0,0,0,Normal Flow (True Negative),1,40236,Moderate (1-4km),West
66,2022-09-27 12:18:00,26.18562045,92.91196821,RD-110,79,119,Bus,Medium,Clear,3887,Dry,No,Not Applicable,No,36.28,31.48,2022,9,September,Q3,27,Tuesday,12,0,Midday,0,0,0,0,Normal Flow (True Negative),2,9401,Moderate (1-4km),East
67,2022-05-28 12:49:00,31.3711981,85.28870121,RD-466,170,84,Truck,Very High,Snow,4459,Wet,No,Not Applicable,Yes,24.23,71.8,2022,5,May,Q2,28,Saturday,12,1,Midday,0,1,0,0,False Alarm (False Positive),4,14280,Good (>4km),North
68,2022-10-14 05:36:00,20.66099602,74.73806212,RD-96,458,29,Bus,Medium,Fog,6423,Wet,No,Not Applicable,No,44.07,73.52,2022,10,October,Q4,14,Friday,5,0,Night,0,0,0,0,Normal Flow (True Negative),2,13282,Good (>4km),West
69,2023-05-07 00:46:00,15.50141933,84.2934633,RD-141,12,50,Bike,High,Rain,4600,Dry,No,Not Applicable,No,22.24,80.18,2023,5,May,Q2,7,Sunday,0,1,Night,0,0,0,0,Normal Flow (True Negative),3,600,Good (>4km),South
70,2019-12-19 14:47:00,15.62497559,87.58367859,RD-144,398,59,Car,High,Snow,2572,Slippery,No,Not Applicable,No,49.61,88.47,2019,12,December,Q4,19,Thursday,14,0,Midday,0,0,0,0,Normal Flow (True Negative),3,23482,Moderate (1-4km),South
71,2022-01-06 16:25:00,17.58750877,87.7352962,RD-229,379,116,Bike,Low,Storm,8502,Dry,No,Not Applicable,No,43.17,88.54,2022,1,January,Q1,6,Thursday,16,0,Midday,0,0,0,0,Normal Flow (True Negative),1,43964,Good (>4km),East
72,2021-09-18 03:30:00,25.9032264,88.99613366,RD-453,484,5,Bike,Very High,Fog,7899,Under Maintenance,No,Not Applicable,No,25.96,33.92,2021,9,September,Q3,18,Saturday,3,1,Night,0,0,0,0,Normal Flow (True Negative),4,2420,Good (>4km),East
73,2019-11-08 16:20:00,32.31330219,93.9764031,RD-77,21,54,Car,Medium,Storm,5741,Under Maintenance,Yes,Fatal,Yes,20.17,79.31,2019,11,November,Q4,8,Friday,16,0,Midday,1,1,1,1,True Positive,2,1134,Good (>4km),North
74,2018-01-19 22:29:00,22.48775847,91.91983943,RD-18,298,54,Truck,Very High,Storm,1095,Slippery,No,Not Applicable,No,44.46,68.78,2018,1,January,Q1,19,Friday,22,0,Night,0,0,0,0,Normal Flow (True Negative),4,16092,Moderate (1-4km),East
75,2019-06-08 13:52:00,19.69999868,85.62321305,RD-315,498,37,Mixed,High,Storm,3454,Dry,No,Not Applicable,Yes,41.21,68.84,2019,6,June,Q2,8,Saturday,13,1,Midday,0,1,0,0,False Alarm (False Positive),3,18426,Moderate (1-4km),East
76,2018-06-21 20:48:00,31.02158442,68.93279676,RD-318,36,117,Mixed,High,Fog,9263,Slippery,No,Not Applicable,No,41.87,37.7,2018,6,June,Q2,21,Thursday,20,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),3,4212,Good (>4km),North
77,2019-10-11 16:31:00,16.4003693,89.73614869,RD-316,378,75,Bike,Low,Snow,5138,Under Maintenance,No,Not Applicable,No,43.14,69.01,2019,10,October,Q4,11,Friday,16,0,Midday,0,0,0,0,Normal Flow (True Negative),1,28350,Good (>4km),East
78,2023-11-18 09:35:00,27.9820228,96.27382326,RD-126,390,106,Truck,Medium,Storm,8882,Dry,No,Not Applicable,No,22.22,88.95,2023,11,November,Q4,18,Saturday,9,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),2,41340,Good (>4km),East
79,2019-01-12 12:36:00,11.0683514,76.86143201,RD-332,22,113,Truck,Medium,Rain,4984,Dry,No,Not Applicable,Yes,30.75,84.71,2019,1,January,Q1,12,Saturday,12,1,Midday,0,1,0,0,False Alarm (False Positive),2,2486,Good (>4km),South
80,2018-02-22 07:01:00,11.28390972,85.60005989,RD-152,375,96,Truck,Very High,Snow,1235,Under Maintenance,No,Not Applicable,No,23.48,56.35,2018,2,February,Q1,22,Thursday,7,0,Morning Peak,0,0,0,0,Normal Flow (True Negative),4,36000,Moderate (1-4km),South
81,2020-04-13 20:43:00,26.67760883,90.29133166,RD-256,132,107,Truck,Very High,Storm,9755,Wet,No,Not Applicable,No,45.89,32.4,2020,4,April,Q2,13,Monday,20,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),4,14124,Good (>4km),East
82,2019-03-21 15:44:00,10.39976491,86.5335804,RD-211,212,32,Bike,High,Fog,3554,Slippery,No,Not Applicable,No,38.7,51.74,2019,3,March,Q1,21,Thursday,15,0,Midday,0,0,0,0,Normal Flow (True Negative),3,6784,Moderate (1-4km),South
83,2020-10-14 12:36:00,12.49648375,94.75391793,RD-452,263,36,Bus,Low,Storm,4448,Under Maintenance,No,Not Applicable,No,29.93,79.58,2020,10,October,Q4,14,Wednesday,12,0,Midday,0,0,0,0,Normal Flow (True Negative),1,9468,Good (>4km),South
84,2022-10-02 23:43:00,26.10670266,81.72685883,RD-282,212,92,Mixed,High,Storm,5753,Under Maintenance,No,Not Applicable,No,21.91,72.09,2022,10,October,Q4,2,Sunday,23,1,Night,0,0,0,0,Normal Flow (True Negative),3,19504,Good (>4km),Central
85,2019-10-19 23:39:00,20.70790722,83.42355651,RD-246,173,12,Mixed,Very High,Clear,8745,Dry,No,Not Applicable,No,29.33,57.56,2019,10,October,Q4,19,Saturday,23,1,Night,0,0,0,0,Normal Flow (True Negative),4,2076,Good (>4km),Central
86,2023-06-17 00:13:00,24.27759713,69.10905832,RD-32,370,48,Car,Low,Clear,2282,Dry,No,Not Applicable,No,29.76,33.31,2023,6,June,Q2,17,Saturday,0,1,Night,0,0,0,0,Normal Flow (True Negative),1,17760,Moderate (1-4km),West
87,2023-10-28 23:46:00,36.33134447,94.10641805,RD-45,195,100,Bike,Very High,Snow,3773,Slippery,Yes,Minor,No,41.89,55.61,2023,10,October,Q4,28,Saturday,23,1,Night,1,0,0,0,Missed Incident (False Negative),4,19500,Moderate (1-4km),North
88,2021-10-16 21:59:00,26.3268701,75.60620154,RD-144,329,32,Mixed,Medium,Clear,379,Under Maintenance,No,Not Applicable,No,39.13,58.14,2021,10,October,Q4,16,Saturday,21,1,Evening Peak,0,0,0,0,Normal Flow (True Negative),2,10528,Poor (<1km),Central
89,2020-05-06 07:05:00,25.13467332,96.37421115,RD-197,443,116,Bike,Very High,Fog,7855,Under Maintenance,No,Not Applicable,Yes,46.62,85.71,2020,5,May,Q2,6,Wednesday,7,0,Morning Peak,0,1,0,0,False Alarm (False Positive),4,51388,Good (>4km),East
90,2020-08-17 12:18:00,19.02400436,73.8610845,RD-71,131,71,Bike,High,Clear,4111,Dry,Yes,Fatal,No,34.17,68.47,2020,8,August,Q3,17,Monday,12,0,Midday,1,0,1,1,Missed Incident (False Negative),3,9301,Good (>4km),West
91,2018-03-09 08:53:00,26.29545025,75.35021467,RD-215,188,11,Truck,Low,Fog,3929,Under Maintenance,No,Not Applicable,No,23.59,48.7,2018,3,March,Q1,9,Friday,8,0,Morning Peak,0,0,0,0,Normal Flow (True Negative),1,2068,Moderate (1-4km),Central
92,2023-10-12 11:13:00,8.376986245,82.05414339,RD-103,141,10,Car,Low,Storm,6461,Dry,No,Not Applicable,No,41.4,61.52,2023,10,October,Q4,12,Thursday,11,0,Midday,0,0,0,0,Normal Flow (True Negative),1,1410,Good (>4km),South
93,2023-03-05 10:53:00,24.16228723,87.15450223,RD-330,309,97,Bike,Low,Snow,9111,Wet,No,Not Applicable,No,42.82,33.96,2023,3,March,Q1,5,Sunday,10,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),1,29973,Good (>4km),East
94,2023-02-20 02:41:00,9.998023455,80.77927362,RD-453,27,49,Mixed,High,Clear,1178,Wet,No,Not Applicable,Yes,36.84,88.35,2023,2,February,Q1,20,Monday,2,0,Night,0,1,0,0,False Alarm (False Positive),3,1323,Moderate (1-4km),South
95,2022-01-14 17:56:00,14.38499516,78.20267942,RD-409,27,18,Mixed,High,Clear,3350,Slippery,No,Not Applicable,No,43.13,51.6,2022,1,January,Q1,14,Friday,17,0,Evening Peak,0,0,0,0,Normal Flow (True Negative),3,486,Moderate (1-4km),South
96,2021-08-30 15:20:00,24.33050906,83.66252235,RD-270,485,49,Car,High,Snow,7844,Slippery,No,Not Applicable,No,34.81,58.67,2021,8,August,Q3,30,Monday,15,0,Midday,0,0,0,0,Normal Flow (True Negative),3,23765,Good (>4km),Central
97,2022-12-18 20:51:00,27.37056591,95.79065122,RD-128,15,63,Bike,Medium,Fog,1046,Under Maintenance,No,Not Applicable,No,35.68,51.32,2022,12,December,Q4,18,Sunday,20,1,Evening Peak,0,0,0,0,Normal Flow (True Negative),2,945,Moderate (1-4km),East
98,2019-01-06 14:37:00,19.15909967,95.89660789,RD-323,196,44,Truck,Low,Fog,7235,Under Maintenance,No,Not Applicable,No,32.83,70.95,2019,1,January,Q1,6,Sunday,14,1,Midday,0,0,0,0,Normal Flow (True Negative),1,8624,Good (>4km),East
99,2022-01-22 08:31:00,20.15041756,77.51329887,RD-411,200,87,Car,Low,Clear,1496,Under Maintenance,No,Not Applicable,No,20.76,69.73,2022,1,January,Q1,22,Saturday,8,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),1,17400,Moderate (1-4km),Central
100,2020-03-23 15:02:00,22.44264977,87.72460059,RD-279,52,50,Bike,Low,Fog,5846,Under Maintenance,No,Not Applicable,No,23.24,72.92,2020,3,March,Q1,23,Monday,15,0,Midday,0,0,0,0,Normal Flow (True Negative),1,2600,Good (>4km),East
